text,intent,emotion,topic
"Halo AVIGO","greeting","positive","general"
"Hai AVIGO","greeting","positive","general"
"Selamat pagi AVIGO","greeting","positive","general"
"Halo, saya ingin berbicara dengan Anda","greeting","neutral","general"
"Apa kabar AVIGO?","greeting","positive","general"
"Bagaimana cara menggunakan sistem ini?","question","neutral","general"
"Apa fungsi API ini?","question","neutral","technical"
"Bagaimana cara deploy aplikasi Go?","question","neutral","technical"
"Kenapa database saya tidak terhubung?","question","negative","technical"
"Bagaimana cara membuat REST API?","question","neutral","technical"
"Ada bug di aplikasi saya","problem_solving","frustrated","technical"
"Login saya mengalami error","problem_solving","negative","technical"
"Database saya error","problem_solving","frustrated","technical"
"API saya tidak bisa digunakan","problem_solving","negative","technical"
"Program saya crash saat dijalankan","problem_solving","frustrated","technical"
"Tolong buatkan laporan pengujian","request","neutral","education"
"Tolong analisis kode saya","request","neutral","technical"
"Bantu saya membuat API","request","neutral","technical"
"Saya ingin membuat sistem AI","request","positive","technical"
"Tolong jelaskan hasil pengujian ini","request","neutral","education"
"Saya ingin berbicara dengan AVIGO","general","neutral","general"
"Saya sedang belajar teknologi","general","positive","education"
"Saya sedang mengembangkan aplikasi","general","positive","technical"
"Saya ingin membuat bisnis digital","general","positive","business"
"Saya sedang mengerjakan skripsi","general","neutral","education"
