text,intent,emotion,topic
"Halo AVIGO","greeting","positive","general"
"Hai AVIGO","greeting","positive","general"
"Selamat pagi AVIGO","greeting","positive","general"
"Selamat siang AVIGO","greeting","positive","general"
"Selamat malam AVIGO","greeting","positive","general"
"Halo, apa kabar?","greeting","positive","general"
"Hai, saya ingin berbicara dengan AVIGO","greeting","neutral","general"
"Senang bertemu dengan AVIGO","greeting","positive","general"
"Halo, saya baru menggunakan sistem ini","greeting","neutral","general"
"Permisi AVIGO","greeting","neutral","general"
"Halo sistem","greeting","neutral","general"
"Hai, apakah AVIGO aktif?","greeting","neutral","general"
"Selamat datang AVIGO","greeting","positive","general"
"Halo, saya ingin mencoba AVIGO","greeting","positive","general"
"Hai AVIGO, saya punya pertanyaan","greeting","neutral","general"
"Selamat sore AVIGO","greeting","positive","general"
"Halo, bisa berbicara dengan saya?","greeting","neutral","general"
"Hai, saya kembali lagi","greeting","positive","general"
"Halo AVIGO, mari mulai","greeting","positive","general"
"Salam AVIGO","greeting","positive","general"
"Bagaimana cara membuat REST API?","question","neutral","technical"
"Apa fungsi PostgreSQL?","question","neutral","technical"
"Bagaimana cara menggunakan Go Fiber?","question","neutral","technical"
"Apa itu JSON?","question","neutral","technical"
"Bagaimana cara menjalankan server Go?","question","neutral","technical"
"Apa fungsi middleware?","question","neutral","technical"
"Bagaimana cara menggunakan JWT?","question","neutral","technical"
"Apa perbedaan GET dan POST?","question","neutral","technical"
"Bagaimana cara membuat database?","question","neutral","technical"
"Apa itu machine learning?","question","neutral","technical"
"Bagaimana cara kerja API?","question","neutral","technical"
"Apa kegunaan NumPy?","question","neutral","technical"
"Apa fungsi scikit-learn?","question","neutral","technical"
"Bagaimana cara melakukan deployment?","question","neutral","technical"
"Apa itu train test split?","question","neutral","technical"
"Bagaimana cara menguji model machine learning?","question","neutral","technical"
"Apa fungsi TF-IDF?","question","neutral","technical"
"Bagaimana cara membaca file CSV dengan Python?","question","neutral","technical"
"Apa itu database migration?","question","neutral","technical"
"Bagaimana cara melakukan quality testing?","question","neutral","technical"
"Aplikasi saya mengalami bug","problem_solving","frustrated","technical"
"Login saya mengalami error","problem_solving","negative","technical"
"Database saya error","problem_solving","frustrated","technical"
"API saya tidak bisa digunakan","problem_solving","negative","technical"
"Program saya crash saat dijalankan","problem_solving","frustrated","technical"
"Server saya tidak merespons","problem_solving","negative","technical"
"Data tidak masuk ke database","problem_solving","negative","technical"
"Endpoint API saya mengembalikan error","problem_solving","negative","technical"
"Aplikasi saya tiba-tiba berhenti","problem_solving","frustrated","technical"
"Request ke server selalu gagal","problem_solving","negative","technical"
"Login selalu mendapatkan status 500","problem_solving","frustrated","technical"
"Database PostgreSQL saya tidak terhubung","problem_solving","frustrated","technical"
"Server Go saya gagal dijalankan","problem_solving","frustrated","technical"
"API saya mengembalikan response yang salah","problem_solving","negative","technical"
"Data pengguna tidak tersimpan","problem_solving","negative","technical"
"Program saya mengalami panic","problem_solving","frustrated","technical"
"Migration database saya gagal","problem_solving","frustrated","technical"
"Authentication aplikasi saya bermasalah","problem_solving","negative","technical"
"Endpoint saya mengalami internal server error","problem_solving","negative","technical"
"Fitur aplikasi saya tidak berjalan","problem_solving","frustrated","technical"
"Tolong analisis kode saya","request","neutral","technical"
"Tolong bantu membuat API","request","neutral","technical"
"Bantu saya memperbaiki bug","request","frustrated","technical"
"Tolong buatkan contoh REST API","request","neutral","technical"
"Bantu saya membuat database","request","neutral","technical"
"Tolong jelaskan hasil pengujian ini","request","neutral","education"
"Tolong buatkan laporan pengujian","request","neutral","education"
"Bantu saya membuat model machine learning","request","neutral","technical"
"Tolong periksa kode Go saya","request","neutral","technical"
"Bantu saya melakukan debugging","request","frustrated","technical"
"Tolong buatkan query PostgreSQL","request","neutral","technical"
"Bantu saya memahami error ini","request","neutral","technical"
"Tolong analisis hasil testing","request","neutral","education"
"Bantu saya membuat dataset","request","neutral","technical"
"Tolong buatkan script Python","request","neutral","technical"
"Bantu saya menguji API","request","neutral","technical"
"Tolong jelaskan cara deployment","request","neutral","technical"
"Bantu saya memperbaiki database","request","frustrated","technical"
"Tolong evaluasi model saya","request","neutral","technical"
"Bantu saya membuat sistem AI","request","positive","technical"
"Saya ingin berbicara dengan AVIGO","general","neutral","general"
"Saya sedang belajar teknologi","general","positive","education"
"Saya sedang mengembangkan aplikasi","general","positive","technical"
"Saya ingin membuat bisnis digital","general","positive","business"
"Saya sedang mengerjakan skripsi","general","neutral","education"
"Saya sedang belajar pemrograman","general","positive","education"
"Saya tertarik dengan artificial intelligence","general","positive","technical"
"Saya sedang membuat proyek kampus","general","neutral","education"
"Saya ingin memahami teknologi AI","general","positive","technical"
"Saya sedang membangun sebuah aplikasi","general","positive","technical"
"Saya ingin mengembangkan bisnis online","general","positive","business"
"Saya sedang mempelajari Python","general","positive","education"
"Saya ingin belajar machine learning","general","positive","education"
"Saya sedang mengerjakan proyek software","general","neutral","technical"
"Saya tertarik membuat produk digital","general","positive","business"
"Saya sedang melakukan penelitian","general","neutral","education"
"Saya ingin mengembangkan kemampuan coding","general","positive","education"
"Saya sedang merancang sistem baru","general","neutral","technical"
"Saya ingin membuat startup teknologi","general","positive","business"
"Saya sedang mempelajari pengembangan web","general","positive","education"
